epoch,batch_step,example_num,eval_split,MSE,SSIM,CUSTOM
41,22878,22878,training set,59.237083146530495,0.8421661875909194,285.5741882324219
41,22878,22878,test set,59.553549643234874,0.8378173101482389,288.27716064453125
42,23436,23436,training set,59.42243508505635,0.8352399250143208,292.7189636230469
42,23436,23436,test set,62.203923749388196,0.830886711133644,297.2358703613281
43,23994,23994,training set,56.19180190161569,0.8587929516579607,292.2575988769531
43,23994,23994,test set,52.419426957087126,0.8646694643393857,292.9213562011719
44,24552,24552,training set,53.85463764704036,0.8567980183579493,283.6050109863281
44,24552,24552,test set,57.16506262507028,0.8574007857896504,279.636474609375
45,25110,25110,training set,59.195162466174224,0.8513397781352978,301.6293640136719
45,25110,25110,test set,59.47428122215206,0.8510362413799157,302.664306640625
46,25668,25668,training set,58.88008005201118,0.860918961938296,279.9277648925781
46,25668,25668,test set,56.9309942539694,0.8591075436852407,280.61761474609375
47,26226,26226,training set,56.710740821872605,0.8683174892357783,283.270751953125
47,26226,26226,test set,56.10471668766695,0.8636297249649942,289.768798828125
48,26784,26784,training set,55.51781559549272,0.8379897322301986,298.034912109375
48,26784,26784,test set,59.079338616575114,0.8390215495346638,301.59759521484375
49,27342,27342,training set,58.705803608871065,0.8635592362552416,294.6228942871094
49,27342,27342,test set,58.748643029946834,0.8629243263130775,295.2442626953125
50,27900,27900,training set,56.56458353804919,0.8754490558967518,275.2012023925781
50,27900,27900,test set,57.23005617829767,0.8729241962319065,277.7099304199219
51,28458,28458,training set,57.567235729598906,0.8488107023476914,272.9707336425781
51,28458,28458,test set,54.63677429256495,0.8501076375782759,267.6165771484375
52,29016,29016,training set,59.5754129740526,0.8525086921436014,284.57269287109375
52,29016,29016,test set,56.80970208818326,0.8547673822467914,276.7808837890625
53,29574,29574,training set,57.01675734310993,0.8544631347940594,297.35125732421875
53,29574,29574,test set,58.53439319625613,0.8522218908874493,294.5478515625
54,30132,30132,training set,54.676044377702055,0.8518510000631068,277.4555969238281
54,30132,30132,test set,57.49627148054424,0.8542449331926036,285.001220703125
55,30690,30690,training set,55.91923198528821,0.873981013406592,274.58831787109375
55,30690,30690,test set,50.5161936027871,0.8721534803416944,272.2638854980469
56,31248,31248,training set,55.184012796205934,0.8667800236871699,279.2047424316406
56,31248,31248,test set,54.83361169384443,0.8676163669224479,274.80389404296875
57,31806,31806,training set,57.696197593642864,0.86284893512493,290.3944396972656
57,31806,31806,test set,57.21436635093414,0.8614020072418498,289.567626953125
58,32364,32364,training set,57.9268413419195,0.8177823453843303,287.23028564453125
58,32364,32364,test set,61.49546887609176,0.8134063019133464,287.6380615234375
59,32922,32922,training set,55.04500765231205,0.8615078031543817,275.27227783203125
59,32922,32922,test set,53.55946125340415,0.8615601415476704,278.1116943359375
60,33480,33480,training set,57.67886512586847,0.8643247920201702,271.6298828125
60,33480,33480,test set,52.3254749745829,0.8654116298578174,272.5899353027344
61,34038,34038,training set,56.05028827505885,0.8716560539614875,269.6506042480469
61,34038,34038,test set,50.7885457216762,0.8757024517399259,263.4798278808594
62,34596,34596,training set,56.75034725572914,0.8516777108125098,276.45660400390625
62,34596,34596,test set,58.84969809604809,0.8519603248296335,275.142578125
63,35154,35154,training set,55.98356379609322,0.8479351171517919,291.92694091796875
63,35154,35154,test set,52.5154953149613,0.851408015270863,294.1148376464844
64,35712,35712,training set,59.21888281212887,0.8612411908106878,285.08929443359375
64,35712,35712,test set,56.621850311232265,0.861764745463006,277.80230712890625
65,36270,36270,training set,55.19386970668711,0.8761908861197298,266.64373779296875
65,36270,36270,test set,56.419479784730356,0.8725832779414304,269.5537414550781
66,36828,36828,training set,60.55558888163068,0.8400396732031368,289.0557556152344
66,36828,36828,test set,55.63469652843196,0.843488260936283,279.5419921875
67,37386,37386,training set,54.01835585187655,0.8653822524283896,276.66680908203125
67,37386,37386,test set,54.32757698290516,0.8652061138418503,281.3900451660156
68,37944,37944,training set,56.564139978028834,0.8717232639755821,267.8214416503906
68,37944,37944,test set,53.59254002216039,0.8744672159809852,272.0716552734375
69,38502,38502,training set,58.400961363106035,0.8425276571215363,313.6799621582031
69,38502,38502,test set,56.369115381967276,0.8442820500786183,309.20111083984375
70,39060,39060,training set,53.87046662950888,0.8696853918663692,270.58489990234375
70,39060,39060,test set,51.59576473975903,0.8689938337047352,269.1180419921875
71,39618,39618,training set,53.88430196288391,0.8774359563103644,277.33367919921875
71,39618,39618,test set,53.5354619196587,0.8774229772971012,268.58551025390625
72,40176,40176,training set,56.28624566824874,0.8669637501297984,278.8883056640625
72,40176,40176,test set,54.17691791985271,0.8682325012196088,277.9898376464844
73,40734,40734,training set,57.341852306504734,0.8218593350165975,299.1576843261719
73,40734,40734,test set,57.3684593642829,0.8204984326775957,302.9001770019531
74,41292,41292,training set,51.30935509072151,0.8717461842679768,273.48919677734375
74,41292,41292,test set,54.20765049487818,0.8697090458808816,272.3075866699219
75,41850,41850,training set,54.629194384324364,0.8621988558297744,281.6012268066406
75,41850,41850,test set,56.50405204924755,0.8637089073163224,269.35528564453125
76,42408,42408,training set,57.0637629700941,0.7810161478009832,284.8363952636719
76,42408,42408,test set,56.042949221649906,0.7790395749584604,276.8240966796875
77,42966,42966,training set,53.116921766340965,0.8615456009283662,265.5530090332031
77,42966,42966,test set,54.552476595912594,0.8625460486546217,271.4818115234375
78,43524,43524,training set,54.580627465911675,0.8710805345326662,272.95086669921875
78,43524,43524,test set,54.90209394850535,0.8677373208556673,280.7751159667969
79,44082,44082,training set,54.14204436051659,0.8558225700326147,278.5223388671875
79,44082,44082,test set,53.49745022790739,0.8540377079082191,275.38330078125
80,44640,44640,training set,54.062526439432986,0.8738427065400174,261.25042724609375
80,44640,44640,test set,57.400113633135334,0.8747516487801477,265.740234375
81,45198,45198,training set,57.17762728431262,0.857716645950859,278.0354309082031
81,45198,45198,test set,55.81275070545962,0.8554694397807907,280.51763916015625
82,45756,45756,training set,51.08088624521042,0.8807594565369072,256.0086975097656
82,45756,45756,test set,49.64603724563494,0.8794963563850615,261.17120361328125
83,46314,46314,training set,52.18790803788579,0.867691879717313,275.7888488769531
83,46314,46314,test set,54.0788006982184,0.865462498011766,270.40411376953125
84,46872,46872,training set,60.2708441708819,0.8738357461552368,270.5025634765625
84,46872,46872,test set,56.04974541370757,0.8764943236019462,270.0528869628906
85,47430,47430,training set,56.078322823974304,0.8744759446271928,271.1039733886719
85,47430,47430,test set,54.15614571503829,0.871775646165247,270.32867431640625
86,47988,47988,training set,51.530901447695214,0.8751167577065644,270.85357666015625
86,47988,47988,test set,53.35332622221904,0.8736700764566194,273.8308410644531
87,48546,48546,training set,51.71887273070752,0.8584397379299844,267.6828308105469
87,48546,48546,test set,54.62907600274775,0.8545409245439259,273.24774169921875
88,49104,49104,training set,52.95307226576551,0.8798008170415414,266.5940246582031
88,49104,49104,test set,52.34063652413897,0.8794506515114335,266.6427917480469
89,49662,49662,training set,53.79099128473899,0.8710693303582957,261.4796142578125
89,49662,49662,test set,55.105995902995346,0.8680283431845623,268.7034606933594
90,50220,50220,training set,56.71577967746998,0.8516405010086601,272.0003662109375
90,50220,50220,test set,56.95624355089967,0.8509680139177362,271.1124267578125
91,50778,50778,training set,50.493445901112864,0.874754266533273,262.67767333984375
91,50778,50778,test set,55.85340372333303,0.8712558623628865,268.5084228515625
92,51336,51336,training set,51.95056941615621,0.8793674116095644,262.74725341796875
92,51336,51336,test set,54.13738468592055,0.8830917117920762,260.01654052734375
93,51894,51894,training set,56.63573411863763,0.8504930280760163,280.3418884277344
93,51894,51894,test set,53.32944443784072,0.8490656599133217,274.44158935546875
94,52452,52452,training set,53.281815811875276,0.8763579219739768,261.87890625
94,52452,52452,test set,52.3906600822811,0.8784005118504865,257.7633056640625
95,53010,53010,training set,53.99215641794581,0.8565137598852743,268.6045837402344
95,53010,53010,test set,56.08849298709538,0.8530196859646821,275.397705078125
96,53568,53568,training set,54.47753091156483,0.8748785754505661,264.5420837402344
96,53568,53568,test set,50.39774109941209,0.879513818610576,263.53607177734375
97,54126,54126,training set,53.98054341840907,0.8752370974252699,267.491943359375
97,54126,54126,test set,52.16861950463499,0.8767643794344622,264.27960205078125
98,54684,54684,training set,53.46962357716984,0.8681592935336084,264.1651306152344
98,54684,54684,test set,52.67837688198779,0.8657665339997038,267.4322814941406
99,55242,55242,training set,56.01683612103807,0.8498143727192655,280.2301025390625
99,55242,55242,test set,54.07779616169864,0.8501818285003537,278.2503967285156
100,55800,55800,training set,55.723014506540494,0.8521897817327044,275.08978271484375
100,55800,55800,test set,57.71239275863627,0.8535041547002038,273.2718811035156
101,56358,56358,training set,57.66972954472294,0.8629288583179004,269.2276306152344
101,56358,56358,test set,55.870302333092695,0.8622824594931444,269.9316101074219
102,56916,56916,training set,52.88240616366966,0.8542651517000195,276.17999267578125
102,56916,56916,test set,57.04949025606038,0.8494579530524788,287.8236999511719
103,57474,57474,training set,53.67178629463888,0.8691569847520668,263.88836669921875
103,57474,57474,test set,54.15871593327029,0.8692529838590417,260.70556640625
