epoch,batch_step,example_num,eval_split,MSE,SSIM,CUSTOM
1,558,558,training set,46.3700498836115,0.9082095785997808,184.63311767578125
1,558,558,holdout set,42.45437515247613,0.9079953487962484,193.52508544921875
2,1116,1116,training set,41.99876858125208,0.9114915676764213,186.21377563476562
2,1116,1116,holdout set,41.11123024125118,0.9128220619168133,192.16043090820312
3,1674,1674,training set,39.77685100445524,0.9178133367095143,171.9775848388672
3,1674,1674,holdout set,38.72522105020471,0.9173822267330252,196.50509643554688
4,2232,2232,training set,34.26489694917109,0.9214258746942505,164.91900634765625
4,2232,2232,holdout set,33.87655205588089,0.9244760834844783,178.9460906982422
5,2790,2790,training set,39.37986589106731,0.9208369343541563,177.69879150390625
5,2790,2790,holdout set,43.22113858233206,0.9196179756545462,184.38365173339844
6,3348,3348,training set,37.301929386216216,0.9173770560882986,179.3291778564453
6,3348,3348,holdout set,39.99568919464946,0.9171365526271984,190.01809692382812
7,3906,3906,training set,40.63427944108844,0.9164026076323353,177.94419860839844
7,3906,3906,holdout set,37.03619848773815,0.9229841410997324,183.27101135253906
8,4464,4464,training set,36.232610468170606,0.9168782089254819,175.25650024414062
8,4464,4464,holdout set,39.4081745040603,0.9202063919510692,190.74583435058594
9,5022,5022,training set,38.818114492460154,0.9149200702086091,180.49559020996094
9,5022,5022,holdout set,34.39161590579897,0.9228023861069232,184.26068115234375
10,5580,5580,training set,39.275134044582956,0.9178257823805325,181.65289306640625
10,5580,5580,holdout set,35.02874197834171,0.9196170389186591,188.25050354003906
11,6138,6138,training set,33.41626064450247,0.918709360586945,173.07496643066406
11,6138,6138,holdout set,36.3743659039028,0.9210302231949754,192.78121948242188
12,6696,6696,training set,32.98161497851834,0.9180422885110602,180.26268005371094
12,6696,6696,holdout set,36.22145489510149,0.9202695742133074,192.7938995361328
13,7254,7254,training set,40.24057178897783,0.9190199391450733,184.89427185058594
13,7254,7254,holdout set,36.4672395279631,0.918731702840887,185.08383178710938
