MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
139.89498391747475,0.4976477945892839,1024,32,0,1773362955,,False,1,a442da07,2026-03-12_19-49-15,9.919804096221924,9.919804096221924,19932,DESKTOP-6E08LRQ,127.0.0.1,9.919804096221924,1
84.68168592453003,0.6582524232690048,2048,64,0,1773362964,,False,2,a442da07,2026-03-12_19-49-24,9.039965629577637,18.95976972579956,19932,DESKTOP-6E08LRQ,127.0.0.1,18.95976972579956,2
92.74787600338459,0.656625829054974,3072,96,0,1773362975,,False,3,a442da07,2026-03-12_19-49-35,10.061499118804932,29.021268844604492,19932,DESKTOP-6E08LRQ,127.0.0.1,29.021268844604492,3
103.67486461997032,0.679134747129865,4096,128,0,1773362985,,False,4,a442da07,2026-03-12_19-49-45,10.417334079742432,39.438602924346924,19932,DESKTOP-6E08LRQ,127.0.0.1,39.438602924346924,4
123.6707558631897,0.6781783847836778,5120,160,0,1773362996,,False,5,a442da07,2026-03-12_19-49-56,11.014345645904541,50.452948570251465,19932,DESKTOP-6E08LRQ,127.0.0.1,50.452948570251465,5
102.08208884298801,0.7217013703193516,6144,192,0,1773363007,,False,6,a442da07,2026-03-12_19-50-07,10.631738185882568,61.08468675613403,19932,DESKTOP-6E08LRQ,127.0.0.1,61.08468675613403,6
93.70436942577362,0.7414119087625295,7168,224,0,1773363018,,False,7,a442da07,2026-03-12_19-50-18,11.205842971801758,72.29052972793579,19932,DESKTOP-6E08LRQ,127.0.0.1,72.29052972793579,7
81.26608760654926,0.7467401698231697,8192,256,0,1773363030,,False,8,a442da07,2026-03-12_19-50-30,12.106971502304077,84.39750123023987,19932,DESKTOP-6E08LRQ,127.0.0.1,84.39750123023987,8
92.62970550358295,0.7638145892415196,9216,288,0,1773363042,,False,9,a442da07,2026-03-12_19-50-42,12.358401775360107,96.75590300559998,19932,DESKTOP-6E08LRQ,127.0.0.1,96.75590300559998,9
74.8262624591589,0.738757056184113,10240,320,0,1773363054,,False,10,a442da07,2026-03-12_19-50-54,11.264308452606201,108.02021145820618,19932,DESKTOP-6E08LRQ,127.0.0.1,108.02021145820618,10
95.5202898234129,0.6866277602966875,11264,352,0,1773363064,,False,11,a442da07,2026-03-12_19-51-04,10.045436143875122,118.0656476020813,19932,DESKTOP-6E08LRQ,127.0.0.1,118.0656476020813,11
99.1784169524908,0.7428372373105958,12288,384,0,1773363074,,False,12,a442da07,2026-03-12_19-51-14,10.318682432174683,128.38433003425598,19932,DESKTOP-6E08LRQ,127.0.0.1,128.38433003425598,12
67.43791104853153,0.7753595416434109,13312,416,0,1773363085,,False,13,a442da07,2026-03-12_19-51-25,10.598974704742432,138.9833047389984,19932,DESKTOP-6E08LRQ,127.0.0.1,138.9833047389984,13
84.10265375673771,0.7560739844520867,14336,448,0,1773363096,,False,14,a442da07,2026-03-12_19-51-36,11.31430959701538,150.2976143360138,19932,DESKTOP-6E08LRQ,127.0.0.1,150.2976143360138,14
96.77355560660362,0.7351889105048031,15360,480,0,1773363106,,False,15,a442da07,2026-03-12_19-51-46,10.421859979629517,160.7194743156433,19932,DESKTOP-6E08LRQ,127.0.0.1,160.7194743156433,15
71.5935027897358,0.7511585605097935,16384,512,0,1773363117,,True,16,a442da07,2026-03-12_19-51-57,10.733881711959839,171.45335602760315,19932,DESKTOP-6E08LRQ,127.0.0.1,171.45335602760315,16
