SI_dropout,SI_exp_kernel,SI_gen_fill,SI_gen_hidden_dim,SI_gen_neck,SI_layer_norm,SI_normalize,SI_pad_mode,batch_size,gen_lr,num_params,MSE,SSIM
0.0,3.0,0.0,18.0,medium,instance,0.0,replicate,256.0,0.0001000142524494,1088425.0,383.4371500061825,0.0487183359746268
0.0,4.0,1.0,25.0,wide,instance,0.0,replicate,64.0,0.0002187174896596,746602.0,406.4287704229355,0.0321951742448902
1.0,4.0,0.0,33.0,medium,group,0.0,zeros,128.0,0.0006118554413309,83652320.0,288.4537865519524,0.2938508516235742
0.0,3.0,1.0,27.0,medium,instance,0.0,replicate,128.0,0.0014371114476024,14313833.0,283.01101418584585,0.145898148897686
1.0,4.0,1.0,26.0,medium,none,0.0,replicate,64.0,0.0073351155324156,146343733.0,405.02372178435326,0.1081091110609122
1.0,3.0,1.0,34.0,medium,instance,0.0,replicate,128.0,0.0008064727810669,82631182.0,334.9700207710266,0.1352516647311858
1.0,3.0,1.0,22.0,medium,group,0.0,replicate,128.0,0.0021290159517275,30059916.0,283.74231201410294,0.2343386816210113
0.0,3.0,0.0,21.0,medium,instance,0.0,zeros,128.0,0.0003851592845906,31418586.0,192.4499878287316,0.6441457710461691
1.0,4.0,0.0,21.0,narrow,instance,0.0,zeros,128.0,0.0002772456523803,42969058.0,222.77183955907824,0.5038772815321408
1.0,4.0,0.0,15.0,medium,group,0.0,zeros,256.0,0.0004385266900686,29428395.0,172.90325462818146,0.4932013828802155
0.0,3.0,0.0,15.0,medium,instance,0.0,zeros,256.0,0.0003430800370771,29721085.0,232.0934082865715,0.4653515686513856
0.0,3.0,0.0,15.0,wide,instance,0.0,zeros,256.0,0.0001030930482078,5492121.0,333.8666899204254,0.1887637262407224
0.0,3.0,0.0,21.0,medium,instance,0.0,zeros,256.0,0.000157507633199,59029627.0,265.5984448194504,0.3864721024001483
0.0,3.0,0.0,15.0,medium,instance,0.0,zeros,256.0,0.0003930332166674,29458800.0,200.2324993014336,0.5858185332035646
0.0,3.0,0.0,13.0,medium,instance,0.0,zeros,256.0,0.000346313007546,10270756.0,240.65560448169708,0.50483505113516
0.0,3.0,0.0,16.0,medium,instance,0.0,zeros,128.0,0.0008980660490143,23056287.0,283.0470321178436,0.5294284775445703
0.0,3.0,0.0,17.0,medium,instance,0.0,zeros,256.0,0.0008778532458534,28061490.0,301.2553584575653,0.3594068240126944
0.0,3.0,0.0,16.0,medium,instance,0.0,zeros,128.0,0.0008352183537855,33451490.0,211.27232575416565,0.6021975936600938
0.0,3.0,0.0,16.0,narrow,instance,0.0,zeros,256.0,0.0021875022254723,48119920.0,186.60266429185867,0.533497173932119
0.0,3.0,0.0,19.0,medium,instance,0.0,zeros,256.0,0.001023268039844,120445.0,190.4314659833908,0.5550441774175852
0.0,3.0,0.0,17.0,medium,instance,0.0,zeros,128.0,0.0003726524712934,19524698.0,228.7556069493293,0.5626228112960234
0.0,3.0,0.0,17.0,medium,instance,0.0,zeros,128.0,0.0003811785390119,23049259.0,180.8060557544232,0.658490797621198
0.0,3.0,0.0,17.0,medium,instance,0.0,zeros,64.0,0.0002074949488852,328125.0,169.80725610256195,0.5689408955877298
0.0,3.0,0.0,17.0,medium,none,0.0,zeros,64.0,0.0003129114552791,29243059.0,154.1252287235111,0.6702209182549268
0.0,3.0,0.0,20.0,narrow,none,0.0,zeros,64.0,0.000300706731964,7223179.0,173.77093732357025,0.6974491395521909
0.0,3.0,0.0,20.0,narrow,none,0.0,zeros,64.0,0.0003182422757167,6159560.0,169.90913586318493,0.6752790710888803
0.0,3.0,0.0,24.0,narrow,none,0.0,zeros,64.0,0.0002317126630821,8322088.0,177.77456397004426,0.7059133556322195
0.0,3.0,0.0,24.0,narrow,none,0.0,zeros,64.0,0.0002392819358223,8438701.0,174.38698446331546,0.7071006339392625
0.0,3.0,0.0,28.0,narrow,none,0.0,zeros,64.0,0.0001910695984547,9806332.0,169.0409181714058,0.7091860186774284
0.0,3.0,0.0,28.0,narrow,none,0.0,zeros,32.0,0.0001357659949614,14740714.0,139.4991617538035,0.6619683371391147
0.0,3.0,0.0,31.0,narrow,none,0.0,zeros,32.0,0.0001729054150706,15046370.0,192.2715988010168,0.6305735459754942
0.0,3.0,0.0,27.0,narrow,none,0.0,zeros,64.0,0.0002439654701969,3806044.0,169.70331984758377,0.691740153124556
0.0,3.0,0.0,27.0,narrow,none,0.0,zeros,64.0,0.0002402444541384,3051847.0,163.3558241338469,0.6947197541594505
0.0,3.0,0.0,28.0,narrow,none,0.0,zeros,64.0,0.0001288863677755,3495387.0,167.74319997429848,0.6955966798122972
0.0,3.0,0.0,31.0,narrow,none,0.0,zeros,64.0,0.0002501359809513,3794198.0,148.04358362406492,0.68300314724911
0.0,3.0,0.0,22.0,narrow,none,0.0,zeros,64.0,0.0001719965668176,10488005.0,179.7680144906044,0.6786247109994292
0.0,3.0,0.0,27.0,narrow,none,0.0,replicate,64.0,0.0003222449200142,21700666.0,160.3195719057694,0.6926126665202901
0.0,3.0,0.0,28.0,narrow,none,0.0,replicate,64.0,0.0003069964544245,5214827.0,146.25361344218254,0.717389956349507
