IS_dropout,IS_exp_kernel,IS_gen_fill,IS_gen_hidden_dim,IS_gen_neck,IS_layer_norm,IS_normalize,IS_pad_mode,batch_size,gen_lr,num_params,MSE,SSIM
1.0,4.0,1.0,26.0,medium,group,0.0,zeros,64.0,0.0012898415839112,154076026.0,43930.70293998718,0.0274088010073683
0.0,3.0,0.0,21.0,narrow,instance,0.0,zeros,64.0,0.0002029006496368,67924257.0,50914.511085510254,0.0868065111608302
0.0,4.0,0.0,12.0,narrow,group,0.0,zeros,256.0,0.0004634955932724,8781809.0,47763.45016622543,0.0540999428085342
0.0,4.0,0.0,27.0,narrow,instance,0.0,zeros,32.0,0.0001834869766958,80213127.0,23470.0697555542,0.5921950346091762
1.0,4.0,0.0,12.0,wide,instance,0.0,zeros,32.0,0.0048047030498458,2964499.0,28997.63879013061,0.4484660533489659
0.0,3.0,1.0,15.0,wide,group,0.0,zeros,32.0,0.0016978405559629,22673884.0,26698.29623031616,0.3920339227188378
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0080853734140188,617888.0,18495.319442749023,0.6189976260066032
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0053426274974771,4091423.0,24205.444717407227,0.6492776002851315
1.0,4.0,0.0,34.0,wide,instance,0.0,zeros,64.0,0.0031893584479487,10213307.0,29102.529819488525,0.5597264857497066
1.0,4.0,0.0,16.0,narrow,instance,0.0,zeros,64.0,0.0028044692692474,28301575.0,24476.715950012207,0.563700060127303
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0063190027368016,698832.0,23352.699714660645,0.6200055450899526
0.0,4.0,0.0,11.0,wide,instance,0.0,zeros,32.0,0.0043760100543227,42608.0,22341.45143795013,0.5555631454335526
0.0,4.0,0.0,15.0,wide,instance,0.0,zeros,32.0,0.0023348197919045,2964654.0,21182.927793502808,0.5409234598046169
0.0,4.0,0.0,10.0,narrow,instance,0.0,zeros,32.0,0.0097902235289882,3966401.0,24939.83139419556,0.602775615057908
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0062419907136746,780264.0,21446.19956111908,0.668839972699061
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0035499357716883,936878.0,15720.184679985046,0.6211587220896035
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.006749151601389,459751.0,15982.0420627594,0.5982801460195333
0.0,3.0,0.0,10.0,narrow,group,0.0,zeros,32.0,0.0022321090905807,2668300.0,24228.63885879517,0.6520057978341356
1.0,4.0,0.0,12.0,wide,instance,0.0,zeros,32.0,0.0079050311427975,927839.0,23701.954315185547,0.6328924857079983
0.0,4.0,0.0,11.0,wide,instance,0.0,zeros,32.0,0.0041170247791448,2181157.0,19486.948818206787,0.685837876633741
0.0,4.0,0.0,10.0,wide,instance,0.0,zeros,32.0,0.0024702713806012,8432846.0,23362.842669487,0.6067013916326687
0.0,4.0,0.0,10.0,wide,group,0.0,zeros,32.0,0.007407523989838,761815.0,22749.10045337677,0.6726941399974748
0.0,4.0,0.0,14.0,medium,instance,0.0,zeros,64.0,0.0055787611344889,703664.0,25278.933320999146,0.6360489273210987
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0016497962197093,6735282.0,22272.22599887848,0.6939218305051327
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0017738944971691,6879968.0,14859.2826192379,0.5084878646885045
0.0,4.0,0.0,12.0,narrow,none,0.0,replicate,32.0,0.0014595630369219,2356697.0,23478.50543403625,0.6867579785175622
0.0,4.0,0.0,12.0,narrow,none,0.0,replicate,32.0,0.0034817541132508,2323470.0,17944.734322547913,0.6783451440278441
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0009844384530964,1926264.0,16079.295077323914,0.7170723197050393
0.0,4.0,0.0,12.0,narrow,none,0.0,replicate,32.0,0.0027778116676046,534834.0,17707.081758499146,0.6877773110754788
0.0,4.0,0.0,14.0,narrow,none,0.0,replicate,64.0,0.0002738373809982,1820640.0,21190.36488008499,0.6904660704312846
0.0,4.0,0.0,14.0,narrow,none,0.0,replicate,64.0,0.000254648611239,1739068.0,17653.537672042847,0.6440933973062783
0.0,4.0,0.0,15.0,narrow,none,0.0,replicate,64.0,0.0003035212633342,2298904.0,17086.77777862549,0.7110014709178358
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0006201191555998,2436662.0,12484.574815511703,0.7024979258421808
0.0,4.0,0.0,12.0,narrow,none,0.0,replicate,32.0,0.0043444180740897,1867862.0,23060.30479240417,0.6902404289576225
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0019637834584804,3670920.0,22803.473960876465,0.7081343561876565
0.0,4.0,0.0,10.0,medium,none,0.0,replicate,32.0,0.0011065266295469,13576213.0,18569.44436359405,0.7089104955084622
0.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0013824004722286,41253685.0,22312.17140197754,0.6128965186653659
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0003161914400168,2629793.0,25293.947379112244,0.6924405400641263
0.0,4.0,0.0,10.0,wide,none,0.0,replicate,32.0,0.0009644951124513,505722.0,16062.21187019348,0.6000909978756681
0.0,4.0,0.0,25.0,medium,none,0.0,replicate,64.0,0.0020446226590811,1740722.0,21933.65657234192,0.6683350331149995
0.0,4.0,0.0,11.0,narrow,none,0.0,zeros,32.0,0.0047989196981971,2461619.0,14323.825201034546,0.7065754448994994
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0020545747802052,4810082.0,20533.419884204865,0.722244945121929
0.0,4.0,0.0,11.0,narrow,none,0.0,replicate,32.0,0.0001730679467954,8174299.0,16590.97822856903,0.7167989802546799
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0002008050073149,3688496.0,19976.232188224792,0.690007895231247
0.0,4.0,0.0,12.0,narrow,none,0.0,replicate,32.0,0.0016056692622414,1555559.0,27719.89427089691,0.6800164529122412
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0002644326886671,2329947.0,22220.61240005493,0.6718737042974681
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0002927374783796,2214226.0,17517.95680999756,0.6676834421232343
0.0,4.0,0.0,10.0,narrow,none,0.0,replicate,32.0,0.0002658186440229,1598250.0,14426.640875816343,0.678386596031487
