SI_dropout,SI_exp_kernel,SI_gen_fill,SI_gen_hidden_dim,SI_gen_neck,SI_layer_norm,SI_normalize,SI_pad_mode,batch_size,gen_lr,num_params,MSE,SSIM
1.0,3.0,0.0,21.0,medium,instance,0.0,zeros,32.0,0.0061194679492278,75253935.0,96.7281506061554,0.7163622112348094
1.0,3.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0041717847902469,85522076.0,84.9340668618679,0.7477856639306992
1.0,3.0,0.0,18.0,medium,instance,0.0,zeros,32.0,0.0036956869985599,77497845.0,74.1329637914896,0.7255311029730365
1.0,4.0,0.0,16.0,medium,instance,0.0,zeros,32.0,0.0046437939315665,51778478.0,111.92209473252296,0.6852361854398623
1.0,4.0,0.0,17.0,medium,instance,0.0,zeros,32.0,0.0040202913781897,2122801.0,129.3610751777887,0.6353596454282524
1.0,3.0,0.0,18.0,medium,instance,0.0,zeros,32.0,0.0057167464441985,52139088.0,68.32258981466293,0.7374548407969996
1.0,4.0,0.0,17.0,narrow,instance,0.0,replicate,32.0,0.0028003060522089,62831632.0,73.48612920939922,0.7355786738917232
1.0,3.0,0.0,15.0,medium,instance,0.0,zeros,32.0,0.0068422011753444,35237449.0,75.46926841139793,0.6308333488414064
1.0,4.0,0.0,18.0,wide,instance,0.0,zeros,32.0,0.0006273795437033,21431170.0,99.92564034461977,0.7102199716391624
1.0,4.0,0.0,21.0,narrow,instance,0.0,zeros,32.0,0.0043041821970724,55580575.0,87.59006275236607,0.7235248383367434
1.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0062043063799047,62024711.0,91.85486923158167,0.7336303016636521
1.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0040256661464372,66978964.0,90.8595953732729,0.7517258827574551
1.0,4.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0040226340505843,85656470.0,99.12717179954052,0.7338073616847396
1.0,4.0,0.0,17.0,medium,instance,0.0,zeros,32.0,0.0045967322231745,69753003.0,116.1593631207943,0.6411485195858404
1.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0031678854844886,45670718.0,124.01719994843006,0.7244192541111261
1.0,4.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0039122361891318,106640090.0,85.25212812423706,0.740554570016684
1.0,4.0,0.0,21.0,medium,instance,0.0,zeros,32.0,0.0038949681716648,115235850.0,81.6422210931778,0.7157951348926872
1.0,4.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0051426281181854,76494262.0,85.90229634940624,0.7508815215333016
1.0,4.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0033647014198181,96799700.0,87.96664808690548,0.749121718807146
1.0,4.0,0.0,31.0,medium,group,0.0,zeros,32.0,0.0027189540831286,182876049.0,95.13678489625454,0.7014326669741422
1.0,4.0,0.0,18.0,medium,instance,0.0,zeros,32.0,0.006462998727286,62015076.0,82.3149523139,0.7105900583555922
1.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0036515065810809,64228978.0,108.90674796700478,0.733108737738803
1.0,4.0,0.0,20.0,medium,instance,0.0,zeros,32.0,0.0040600685695643,82724112.0,95.34673278033732,0.7265906952088699
1.0,4.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0029208119888521,52697822.0,108.56233103573322,0.6696526535088196
1.0,3.0,0.0,18.0,medium,instance,0.0,zeros,32.0,0.0058071364081082,51839607.0,97.59464938938618,0.7373036171775311
1.0,3.0,0.0,19.0,medium,instance,0.0,zeros,32.0,0.0015738954615281,64865722.0,117.16489048302174,0.7342398753389716
1.0,4.0,0.0,19.0,narrow,instance,0.0,zeros,32.0,0.0044182358319258,74460409.0,101.05227768421172,0.7243153081508353
1.0,4.0,0.0,21.0,medium,instance,0.0,zeros,32.0,0.0053407797024401,71545405.0,111.94676335155964,0.7150723453378305
1.0,4.0,0.0,18.0,medium,instance,0.0,zeros,32.0,0.00534151725573414,39307354.0,93.65778858959675,0.7572559871478006
